RANK,TEAM
1,Houston
2,Sam Houston
3,Gonzaga
4,Liberty
5,Tennessee
6,UConn
7,Oral Roberts
8,UCLA
9,Yale
10,Fla. Atlantic
11,Col. of Charleston
12,Alabama
13,UMass Lowell
14,James Madison
15,Drake
16,Saint Mary's (CA)
17,Arizona
-,UAB
19,Iona
20,Furman
21,Kent St.
-,Purdue
23,Marshall
24,N.C. Central
25,Texas
26,Indiana St.
27,Youngstown St.
28,Toledo
-,Marquette
30,Colgate
31,Southern Utah
32,Hofstra
33,Utah Valley
34,Utah St.
35,Creighton
36,Southern Miss.
37,Bradley
38,San Diego St.
39,Grand Canyon
40,NC State
-,UC Irvine
42,Boise St.
43,North Texas
44,Cincinnati
-,Dayton
46,Louisiana
47,Illinois
48,Duke
-,VCU
50,Miami
51,New Mexico
52,A&M-Corpus Christi
53,Rutgers
54,Texas A&M
55,Virginia
56,Xavier
57,Akron
58,Montana St.
59,Arkansas
60,UNC Greensboro
61,TCU
62,Kentucky
-,Maryland
64,Clemson
65,Princeton
66,Kansas
67,Baylor
68,Providence
69,Samford
70,Norfolk St.
71,Kansas St.
72,Grambling
73,Longwood
74,Memphis
75,Indiana
76,Pittsburgh
77,UCF
78,Cornell
79,UNC Asheville
80,UC Santa Barbara
81,Troy
82,Kennesaw St.
83,Iowa St.
84,Bryant
85,Vermont
86,Wright St.
87,Iowa
88,Nevada
89,West Virginia
90,Auburn
-,Mississippi St.
92,SFA
93,Southern California
94,South Alabama
95,North Carolina
96,Eastern Wash.
97,Ohio
98,App State
99,BYU
100,Ball St.
101,Northwestern
102,Lipscomb
103,Hawaii
104,Missouri
105,Eastern Ky.
106,Gardner-Webb
107,UT Martin
108,Chattanooga
109,Towson
110,Radford
111,Utah
112,Fordham
113,UNLV
114,Northern Ky.
115,Cal St. Fullerton
116,Belmont
-,California Baptist
118,UNCW
119,Milwaukee
120,Navy
121,Virginia Tech
122,Texas Tech
123,UC Davis
124,Drexel
125,Southern Ill.
126,Oregon
127,Michigan
-,Penn St.
129,Saint Louis
130,Tulane
131,Charlotte
132,Purdue Fort Wayne
133,Santa Clara
134,Duquesne
135,Ohio St.
136,Quinnipiac
137,Abilene Christian
138,UMES
139,Morehead St.
140,Colorado
141,Cleveland St.
142,Western Caro.
143,Florida
144,Seton Hall
145,SIUE
146,Penn
147,Stetson
-,Michigan St.
149,Morgan St.
150,Arizona St.
151,Seattle U
152,Washington St.
153,Howard
-,UC Riverside
155,Tennessee St.
156,Wake Forest
157,Nicholls
158,FDU
159,Oklahoma St.
160,Louisiana Tech
161,San Francisco
162,Army West Point
163,Rider
164,Villanova
165,Northwestern St.
166,Middle Tenn.
167,Robert Morris
168,Missouri St.
169,Stanford
-,George Mason
171,Wichita St.
172,St. John's (NY)
173,LMU (CA)
174,Wofford
175,Long Beach St.
176,New Mexico St.
177,Harvard
178,Davidson
179,FGCU
180,Mercer
181,Ga. Southern
182,Southeast Mo. St.
183,Siena
184,Southeastern La.
185,UMBC
186,Western Ky.
187,Wagner
188,Campbell
189,San Jose St.
190,Detroit Mercy
191,Syracuse
-,Colorado St.
193,South Dakota St.
194,Wisconsin
195,Rice
196,Southern U.
197,Richmond
198,Montana
199,Portland St.
200,Jacksonville